Time_s,Power_W,GPU_Temp_NoPCM_degC,GPU_Temp_Uniform_degC,GPU_Temp_HydraCore_degC
0.0,875.0,70.4,70.05,69.5
0.08,886.7557050458495,70.67959162887452,70.22435859000586,69.61830931755641
0.16,855.9788696740969,70.95714731018084,70.39766966279002,69.73601876348694
0.24,894.0211303259031,71.23243157436838,70.56978204979022,69.85301762383436
0.32,863.2442949541505,71.505210056287,70.74054532653425,69.96919573957837
0.4,875.0,71.77525013331687,70.90981021082355,70.0844437931463
0.48,886.7557050458495,72.0423215586376,71.07742895788623,70.19865359274377
0.56,855.9788696740969,72.30619708804197,71.24325575150259,70.31171835378696
0.64,894.0211303259031,72.56665309871497,71.4071470901163,70.42353297672612
0.72,863.2442949541505,72.82347019841977,71.5689621669568,70.53399432055909
0.8,875.0,73.07643382355617,71.72856324321424,70.64300147134375
0.88,886.7557050458495,73.3253348245851,71.88581601332505,70.75045600503192
0.96,855.9788696740969,73.56997003734469,72.04058996144656,70.85626224396108
1.04,894.0211303259031,73.81014283881912,72.19275870822139,70.960327506356
1.12,863.2442949541505,74.04566368596039,72.3422003469568,71.06256234821076
1.2,875.0,74.27635063620633,72.48879776837065,71.16288079694026
1.28,886.7557050458495,74.50202984838401,72.63243897308487,71.26120057621141
1.36,855.9788696740969,74.7225360627373,72.77301737107805,71.35744332138641
1.44,894.0211303259031,74.93771305887034,72.9104320673419,71.45153478503421
1.52,707.4507122951685,75.14741409045385,73.04458813302074,71.54340503199127
1.6,697.9260354824322,75.35150229560037,73.17539686135055,71.63298862347939
1.68,391.476885381007,75.54985108187569,73.30277600775169,71.7202247898157
1.76,400.23029856408033,75.74234448497792,73.42665001347004,71.80505759127892
1.84,382.6584662527667,75.92887750018183,73.54695021220273,71.8874360667258
1.92,382.65863043050825,76.10935638571526,73.6636150191872,71.96731436958262
2.0,723.6881922326108,76.28369893730502,73.7765901022772,72.04465189086888
2.08,711.5115209372937,76.45183473320236,73.88582853457444,72.11941336894208
2.16,380.30525614065056,76.61370534907304,73.99129092823152,72.19156898568738
2.24,390.4256004358597,76.7692645422127,74.09294554908871,72.26109444890895
2.32,380.3658230718754,76.91847840462584,74.19076841185644,72.32797106071554
2.4,380.3427024642975,77.06132548458562,74.28474335560358,72.39218577172764
2.48,387.4196227156604,77.19779687637043,74.37486209936229,72.45373122096964
2.56,671.300796330133,77.32789627795475,74.46112427770926,72.51260576134662
2.64,674.1262325123045,77.45164001651167,74.54353745623507,72.56881347064159
2.72,379.3771247075903,77.56905704166634,74.62211712686309,72.62236414800579
2.8000000000000003,374.8716887966558,77.68018888652054,74.6968866830307,72.67327329595122
2.88,388.1424733259528,77.78508959655079,74.76787737479675,72.7215620878911
2.96,375.91975924478794,77.88382562656237,74.8351282439892,72.76725732131074
3.04,678.8154444799707,77.97647570596334,74.8986860395578,72.81039135668705
3.12,721.9847315338233,78.06313067270196,74.95860511334669,72.85100204231178
3.2,382.7422369951347,78.14389327629053,75.01494729655084,72.88913262520828
3.2800000000000002,385.6752820468793,78.21887795041616,75.06778175716947,72.92483164836723
3.36,370.7525181378655,78.28821055571629,75.11718483881725,72.95815283456129
3.44,379.5561727547482,78.35202809337193,75.16323988130162,72.98915495703238
3.52,701.663838845648,78.4104783902452,75.20603702341981,73.01790169737848
3.6,682.7350963386655,78.46371975635967,75.2456729884753,73.04446149099931
3.68,388.7569801834568,78.51192061559169,75.28225085305549,73.06890736049169
3.7600000000000002,378.993613100812,78.55525911050908,75.31587979965634,73.09131673741537
3.84,382.08306250206726,78.59392268235797,75.34667485377915,73.11177127288022
3.92,378.9829338777061,78.62810762726191,75.37475660616461,73.13035663743327
4.0,727.7841727676341,78.65801862975755,75.40025092086664,73.14716231075154
4.08,699.797541628931,78.68386827484775,75.4232886299042,73.16228136167213
4.16,374.42289071044104,78.70587653980803,75.44400521526326,73.1758102191154
4.24,393.22544912103194,78.7242702670326,75.46254047905283,73.18784843448037
4.32,372.79156350028984,78.73928261925477,75.47903820264953,73.1984984361126
4.4,387.0886359500476,78.7511525185206,75.49364579569186,73.20786527646534
4.48,365.4032987612023,78.76012407033575,75.50651393581218,73.2160563725925
4.5600000000000005,680.0772092665236,78.76644597444299,75.51779620001696,73.22318124062967
4.64,702.9529185380369,78.77037092372153,75.52764868864735,73.22935122493381
4.72,392.3846657999542,78.77215499272943,75.53622964287055,73.23467922256636
4.8,386.7136828118998,78.77205701743614,75.5436990566694,73.23927940381584
4.88,383.84351717611764,78.77033796771488,75.55021828431047,73.2432669294662
4.96,381.98896304410715,78.76726031418254,75.55594964428361,73.24675766552545
5.04,677.8221701444886,78.76308739098918,75.56105602071372,73.24986789613536
5.12,689.2023368740794,78.75808275616927,75.56570046325254,73.25271403538774
5.2,380.3936122904022,78.7525095511731,75.5700457864619,73.25541233877551
5.28,395.5712222621892,78.74662986119887,75.574254169701,73.25807861500769
5.36,388.4361828956847,78.74070407794348,75.57848675852938,73.26082793891658
5.44,367.3695984463727,78.73499026638474,75.58290326863295,73.26377436618255
5.5200000000000005,704.8612595409219,78.7297435371966,75.58766159327449,73.26703065059732
5.6000000000000005,694.2237657937552,78.72521542638529,75.59291741526074,73.27070796458017
5.68,378.23077999694044,78.72165328371607,75.59882382440725,73.27491562365338
5.76,391.11676288840874,78.71929967147754,75.60553094146762,73.27976081557311
5.84,395.30999522495955,78.71839177510483,75.61318554947822,73.28534833480005
5.92,394.31280119116207,78.71916082715285,75.62193073344993,73.29178032298114
6.0,687.4117371516604,78.7218315460768,75.63190552931803,73.2991560160978
6.08,695.3618143622318,78.72662159124023,75.64324458303759,73.30757149891988
6.16,388.3126343140357,78.7337410355294,75.656077820686,73.31711946738575
6.24,394.75545127122365,78.74339185690829,75.67053013040706,73.32788899950889
6.32,380.20825762154715,78.75576745020125,75.68672105700023,73.33996533539016
6.4,383.14341023336186,78.77105216033843,75.70476450992757,73.35342966689143
6.48,373.93665025993977,78.78942083824532,75.72476848547639,73.36835893750231
6.5600000000000005,682.0569006387899,78.8110384205004,75.74683480378006,73.38482565290555
6.640000000000001,712.1878873359129,78.83605953382506,75.77105886136223,73.40289770271998
6.72,398.5624002857083,78.86462812540667,75.79752939982968,73.42263819387158
6.8,384.27989878419675,78.89687711999089,75.82632829129922,73.44410529601355
6.88,395.0353289789203,78.9329281046116,75.85753034110093,73.46735209938637
6.96,388.6163602504764,78.97289104175678,75.89120310825689,73.492426485477
7.04,690.3232036809231,79.0168640116968,75.92740674418947,73.519371010804
7.12,705.4209340826262,79.06493298462844,75.9661938500673,73.54822280412269
7.2,400.38036566465973,79.11717162321185,76.00760935314953,73.57901347730987
7.28,384.64173960890054,79.17364111600125,76.05169040244196,73.61176905015382
7.36,400.6464365581401,79.23439004219242,76.09846628392852,73.64650988923917
7.44,358.80254895910264,79.29945426803,76.14795835559323,73.68325066108204
7.5200000000000005,712.3285375656284,79.36885687513899,76.2001800023974,73.72200029963325
7.6000000000000005,701.3057060235726,79.44260812096243,76.25513661132592,73.7627619882324
7.68,382.0099264953414,79.52070543140798,76.31282556656693,73.80553315605844
7.76,385.91760776535506,79.60313342572309,76.37323626483688,73.85030548908591
7.84,365.1243108539911,79.68986397353842,76.43635015081335,73.89706495551924
7.92,382.80328112162493,79.78085628393664,76.5021407725866,73.94579184564135
8.0,705.3566885726761,79.87605702632374,76.57057385698997,73.99646082597584
8.08,722.1684106711227,79.97540048279937,76.64160740461979,74.04904100762622
8.16,379.8172978172636,80.07880873164277,76.71519180430528,74.10349602861969
8.24,376.9150639710682,80.18619186145283,76.79126996673936,74.1597841500479
8.32,379.9824295641547,80.29744821540291,76.86977747693409,74.21785836576163
8.4,394.1540211770208,80.41246466499518,76.95064276511536,74.27766652534267
8.48,388.2875110965969,80.5311169126246,77.03378729562628,74.33915147004275
8.56,692.0535969434944,80.65326982219005,77.11912577336227,74.40225118134559
8.64,707.6990114967003,80.7787777769189,77.20656636721702,74.46689894177781
8.72,385.97077549348046,80.907485063503,77.29601094997524,74.533023507562
8.8,394.68644990532897,81.0392262815772,77.387355354047,74.60054929267638
8.88,377.97946906122655,81.17382677750771,77.4804896423978,74.66939656385611
8.96,381.7233785340224,81.31110310139607,77.57529839399083,74.73948164604394
9.040000000000001,694.1183777030176,81.45086348614595,77.67166100302049,74.81071713777126
9.120000000000001,678.0472757780183,81.59290834738394,77.76945199118218,74.88301213592582
9.200000000000001,387.9612027706458,81.73703080297362,77.86854133218965,74.95627246933843
9.28,387.61055272179897,81.88301721081125,77.96879478772092,75.03040094059864
9.36,385.05113456642465,82.03064772354686,78.07007425394441,75.10529757548905
9.44,382.6541286662486,82.17969685883061,78.17223811775055,75.18085987940796
9.52,678.7694388692438,82.32993408364527,78.27514162178932,75.25698310013301
9.6,693.6903201585196,82.48112441125065,78.37863723739235,75.33356049626218
9.68,381.57285483473237,82.63302900923323,78.48257504443768,75.41048361065418
9.76,376.9772273077839,82.78540581712623,78.58680311719816,75.48764254817767
9.84,383.38714288333995,82.9380101720421,78.69116791519944,75.5649262570679
9.92,389.04050856814547,83.09059544073754,78.79551467810055,75.64222281318017
10.0,875.0,83.24291365651658,78.8996878235998,75.71941970642214
10.08,886.7557050458493,83.39471615936368,79.0035313473618,75.79640412864191
10.16,855.9788696740968,83.54575423769161,79.10688922395519,75.87306326224437
10.24,894.021130325903,83.69577977008403,79.20960580778929,75.94928456880723
10.32,863.2442949541505,83.84454586541328,79.31152623303679,76.02495607696773
10.4,875.0000000000003,83.9918074997175,79.41249681153315,76.09996666885287
10.48,886.7557050458499,84.13732214822971,79.5123654276476,76.17420636433
10.56,855.9788696740968,84.28085041096374,79.61098192912891,76.24756660235967
10.64,894.0211303259031,84.42215663027758,79.70819851293913,76.31994051874014
10.72,863.2442949541503,84.56100949885601,79.80387010510063,76.39122321954243
10.8,875.0000000000006,84.6971826565774,79.897854733598,76.46131204954496
10.88,886.7557050458497,84.8304552747586,79.99001389339256,76.53010685499001
10.96,855.9788696740969,84.96061262630312,80.08021290262836,76.59751023999853
11.040000000000001,894.0211303259032,85.0874466403136,80.16832124912995,76.66342781599548
11.120000000000001,863.2442949541501,85.21075643976887,80.25421292631704,76.72776844351593
11.200000000000001,875.0000000000009,85.33034886090846,80.3377667576883,76.79044446578123
