Time_s,Power_W,Python_Baseline_degC,Python_HydraCore_degC,Elmer_FEM_Steady_degC
0.0,875.0,34.97934441309676,34.978932309572805,53.52
0.05,895.0,34.95405973925702,34.95293794791786,53.52
0.1,875.0,34.92863437150471,34.9267736816776,53.52
0.15000000000000002,855.0,34.9032567620882,34.90065874189573,53.52
0.2,875.0,34.877973575011026,34.87464367494732,53.52
0.25,895.0,34.852769265086316,34.848711858819236,53.52
0.30000000000000004,875.0,34.82760231707846,34.822819655616186,53.52
0.35000000000000003,855.0,34.80248810163933,34.796983568570425,53.52
0.4,875.0,34.777467795869256,34.77124687034731,53.52
0.45,895.0,34.75252568681343,34.7455926847963,53.52
0.5,875.0,34.72762025580601,34.71997736703064,53.52
0.55,855.0,34.70276687512268,34.6944174219683,53.52
0.6000000000000001,875.0,34.67800672363892,34.66895612425971,53.52
0.65,895.0,34.65332409017482,34.64357659974489,53.52
0.7000000000000001,875.0,34.628677457835096,34.61823520552273,53.52
0.75,855.0,34.604082200661594,34.592948448491306,53.52
0.8,875.0,34.57957949929091,34.56775960527609,53.52
0.8500000000000001,895.0,34.55515364430006,34.54265180368666,53.52
0.9,875.0,34.53076312054603,34.51758140278623,53.52
0.9500000000000001,855.0,34.506423303818,34.49256491143196,53.52
1.0,875.0,34.48217537649594,34.467645608203114,53.52
1.05,895.0,34.458003630895156,34.44280662285786,53.52
1.1,875.0,34.43386655360657,34.41800431640268,53.52
1.1500000000000001,855.0,34.40977952214904,34.39325519963289,53.52
1.2000000000000002,875.0000000000001,34.38578372062725,34.36860255306056,53.52
1.25,895.0,34.36186344307709,34.34402950837167,53.52
1.3,875.0,34.33797717780529,34.31949242849523,53.52
1.35,855.0,34.31414030404227,34.295007826143845,53.52
1.4000000000000001,875.0000000000001,34.29039400759967,34.27061898374195,53.52
1.4500000000000002,895.0,34.26672258421599,34.24630903488243,53.52
1.5,707.4507122951685,34.24291337550307,34.22185482693339,53.52
1.55,697.9260354824322,34.21922890703927,34.197533752363356,53.52
1.6,709.7153280715104,34.19562408624262,34.17329722073026,53.52
1.6500000000000001,400.23029856408033,34.17176032364067,34.14878950130799,53.52
1.7000000000000002,382.6584662527667,34.148060524069294,34.12445726285062,53.52
1.75,382.65863043050825,34.12443287728044,34.100202043995864,53.52
1.8,400.79212815507395,34.100885701497866,34.07603178380068,53.52
1.85,392.67434729152916,34.07738465470557,34.05191020106713,53.52
1.9000000000000001,380.30525614065056,34.0539352186133,34.02784325293345,53.52
1.9500000000000002,390.4256004358597,34.03056216914043,34.00385701847022,53.52
2.0,693.0487346078131,34.00755544593492,33.98025540089611,53.52
2.0500000000000003,693.0140536964461,33.98449146732023,33.95659117310369,53.52
2.1,703.6294340734905,33.96149506298794,33.932997581290174,53.52
2.15,671.300796330133,33.93852141523687,33.90942813997106,53.52
2.2,367.7508216748697,33.91531001949228,33.88561003642885,53.52
2.25,379.3771247075903,33.89228890674286,33.861994990307316,53.52
2.3000000000000003,374.8716887966558,33.86932222021676,33.83843800945777,53.52
2.35,388.1424733259528,33.846430722725785,33.814960359541885,53.52
2.4000000000000004,375.91975924478794,33.82358137380217,33.79152720006175,53.52
2.45,370.87696298664713,33.80079106456293,33.768156453472066,53.52
2.5,721.9847315338233,33.778420947428955,33.7452269104986,53.52
2.5500000000000003,696.613355492702,33.755947439856776,33.72218586425325,53.52
2.6,701.0129230703188,33.73354287600927,33.69921697449942,53.52
2.6500000000000004,370.7525181378655,33.71085787097983,33.675954263916665,53.52
2.7,379.5561727547482,33.688368820897544,33.652900690929286,53.52
2.75,386.1092258970987,33.665945489407775,33.62991705815401,53.52
2.8000000000000003,373.490064225777,33.64356524428406,33.60697893282859,53.52
2.85,388.7569801834568,33.621263789947264,33.58412391079438,53.52
2.9000000000000004,378.993613100812,33.59900477543343,33.56131362478297,53.52
2.95,382.08306250206726,33.57681059561168,33.53857174554546,53.52
3.0,690.9744008165591,33.55498875323001,33.51622073287314,53.52
3.0500000000000003,727.7841727676341,33.53314185309874,33.49384072034636,53.52
3.1,699.797541628931,33.511305591347785,33.47147113353393,53.52
3.1500000000000004,374.42289071044104,33.48920423746537,33.44882395495684,53.52
3.2,393.22544912103194,33.467305986454456,33.42639337201595,53.52
3.25,372.79156350028984,33.445440431007086,33.40399793081061,53.52
3.3000000000000003,387.0886359500476,33.42365433109269,33.38168633220703,53.52
3.35,365.4032987612023,33.40189761211826,33.3594057503951,53.52
3.4000000000000004,371.71813951101575,33.38021234022526,33.33720058271899,53.52
3.45,386.9686123586913,33.358597017508046,33.31506905328997,53.52
3.5,711.0769986999312,33.337363188487714,33.293337789960084,53.52
3.5500000000000003,702.5705242178495,33.31605044450697,33.27152080366097,53.52
3.6,698.2652757641764,33.294788497167744,33.24975672153988,53.52
3.6500000000000004,381.98896304410715,33.27326059840195,33.227713959420804,53.52
3.7,370.2147800963258,33.25189929715481,33.20584931335935,53.52
3.75,377.80155791605296,33.230609636418464,33.1840608833355,53.52
