Time_s,Power_W,GPU_Temp_No_PCM_degC,PCM_Melt_No_PCM_frac,GPU_Temp_Uniform_PCM_degC,PCM_Melt_Uniform_PCM_frac,GPU_Temp_Hydra_Core_degC,PCM_Melt_Hydra_Core_frac
0.0,875.0,34.97934441309676,0.0,34.97950809003464,0.0,34.978932309572805,0.0
0.05,895.0,34.95405973925702,0.0,34.95359660272195,0.0,34.95293794791786,0.0
0.1,875.0,34.92863437150471,0.0,34.92743598038612,0.0,34.9267736816776,0.0
0.15000000000000002,855.0,34.9032567620882,0.0,34.90131885164366,0.0,34.90065874189573,0.0
0.2,875.0,34.877973575011026,0.0,34.87530365499808,0.0,34.87464367494732,0.0
0.25,895.0,34.852769265086316,0.0,34.84937197015463,0.0,34.848711858819236,0.0
0.30000000000000004,875.0,34.82760231707846,0.0,34.82347751835759,0.0,34.822819655616186,0.0
0.35000000000000003,855.0,34.80248810163933,0.0,34.79763890910008,0.0,34.796983568570425,0.0
0.4,875.0,34.777467795869256,0.0,34.77190207227394,0.0,34.77124687034731,0.0
0.45,895.0,34.75252568681343,0.0,34.746248026285166,0.0,34.7455926847963,0.0
0.5,875.0,34.72762025580601,0.0,34.72063046905331,0.0,34.71997736703064,0.0
0.55,855.0,34.70276687512268,0.0,34.695068010934236,0.0,34.6944174219683,0.0
0.6000000000000001,875.0,34.67800672363892,0.0,34.66960658376485,0.0,34.66895612425971,0.0
0.65,895.0,34.65332409017482,0.0,34.64422720793976,0.0,34.64357659974489,0.0
0.7000000000000001,875.0,34.628677457835096,0.0,34.61888358336404,0.0,34.61823520552273,0.0
0.75,855.0,34.604082200661594,0.0,34.59359432237369,0.0,34.592948448491306,0.0
0.8,875.0,34.57957949929091,0.0,34.56840535878066,0.0,34.56775960527609,0.0
0.8500000000000001,895.0,34.55515364430006,0.0,34.54329771494919,0.0,34.54265180368666,0.0
0.9,875.0,34.53076312054603,0.0,34.51822509274865,0.0,34.51758140278623,0.0
0.9500000000000001,855.0,34.506423303818,0.0,34.493206106474226,0.0,34.49256491143196,0.0
1.0,875.0,34.48217537649594,0.0,34.46828669189157,0.0,34.467645608203114,0.0
