Time_s,Power_W,OpenFOAM_Junction_Temp_degC,Baseline_NoPCM_degC,Uniform_PCM_degC
0.0,875.0,69.5,34.964164976606554,34.963946655389144
0.08,886.7557050458495,69.6203026656799,34.92359455096064,34.92224990696172
0.16,855.9788696740969,69.73999221494478,34.883062533428614,34.8805401643801
0.24,894.0211303259031,69.85895802184234,34.842763895481106,34.83907962698522
0.32,863.2442949541505,69.97709001477243,34.802575065557036,34.79773149566776
0.4,875.0,70.0942789630017,34.762582378527064,34.75659351436147
0.48,886.7557050458495,70.21041676099807,34.72276836287583,34.71564453196138
0.56,855.9788696740969,70.32539670986687,34.683072443661864,34.67481833669865
0.64,894.0211303259031,70.4391137951781,34.643607589507724,34.63424047304404
0.72,863.2442949541505,70.55146496048381,34.604249083341614,34.59377128852956
0.8,875.0,70.66234937583427,34.56508325850047,34.55350848379236
0.88,886.7557050458495,70.77166870061556,34.52609265768086,34.513430922676235
0.96,855.9788696740969,70.87932734004508,34.48721672031138,34.47347240950039
1.04,894.0211303259031,70.98523269467684,34.44856842932705,34.43375850477968
1.12,863.2442949541505,71.08929540228708,34.410023081909436,34.39414957202194
1.2,875.0,71.19142957152947,34.371667025589105,34.35474332777139
1.28,886.7557050458495,71.29155300676993,34.333482817197364,34.31551865171081
1.36,855.9788696740969,71.38958742353343,34.295409910238206,34.27640936393035
1.44,894.0211303259031,71.48545865401907,34.25756130166371,34.23754104064829
1.52,707.4507122951685,71.57909684216435,34.2195939533197,34.19853600454679
1.6,697.9260354824322,71.6704366277665,34.18184597491367,34.15977518644846
1.68,391.476885381007,71.75941731919606,34.14383066905699,34.12071896322349
1.76,400.23029856408033,71.84598305426645,34.10610876108422,34.08199458370266
1.84,382.6584662527667,71.93008294885398,34.068517612061704,34.043408268440736
1.92,382.65863043050825,72.01167123289277,34.031090192845994,34.00499614407081
2.0,723.6881922326108,72.09070737340168,33.99429687156605,33.967270119196776
2.08,711.5115209372937,72.16715618423278,33.957503480881414,33.92951961227879
2.16,380.30525614065056,72.240987922264,33.92040236595525,33.891427589124795
2.24,390.4256004358597,72.31217836979408,33.88360263146646,33.85367745734351
2.32,380.3658230718754,72.38070890293137,33.84693992305852,33.81607226065155
2.4,380.3427024642975,72.44656654580425,33.810434030891095,33.77863330550012
2.48,387.4196227156604,72.50974401045653,33.77409031978032,33.741365922530804
2.56,671.300796330133,72.57023972232763,33.73829317121415,33.70468874936307
2.64,674.1262325123045,72.62805783125285,33.70253564530678,33.66803355544351
2.72,379.3771247075903,72.68320820795702,33.66651147258863,33.631081041107585
2.8000000000000003,374.8716887966558,72.73570642605019,33.630749034851746,33.59442510832746
2.88,388.1424733259528,72.78557372957114,33.595157653622756,33.55795189365084
2.96,375.91975924478794,72.83283698616151,33.55969226678209,33.521610083463536
3.04,678.8154444799707,72.87752862598842,33.52480407914691,33.48589292763158
3.12,721.9847315338233,72.9196865665707,33.49000076309283,33.450246114139404
3.2,382.7422369951347,72.95935412369889,33.45484822765506,33.414209634871234
3.2800000000000002,385.6752820468793,72.99657990867384,33.41998180058031,33.37849865385884
3.36,370.7525181378655,73.03141771212458,33.3852404367835,33.342920031757025
3.44,379.5561727547482,73.06392637469847,33.35066223323797,33.30751490811653
3.52,701.663838845648,73.09416964495105,33.316676194356646,33.27274971238319
3.6,682.7350963386655,73.1222160247948,33.282676440393786,33.23794623235799
3.68,388.7569801834568,73.14813860289723,33.248412291108465,33.202848984424065
3.7600000000000002,378.993613100812,73.17201487644982,33.21439497334926,33.16803215267891
3.84,382.08306250206726,73.19392656175812,33.180529267402115,33.13337717338264
3.92,378.9829338777061,73.21395939413158,33.14679924670417,33.09886479693722
4.0,727.7841727676341,73.2322029175794,33.113699933353864,33.06503498471952
4.08,699.797541628931,73.24875026484335,33.08055989778114,33.031136017805075
4.16,374.42289071044104,73.26369792832385,33.047111362372654,32.99689561915969
4.24,393.22544912103194,73.27714552247822,33.013958897735044,32.962991138835086
4.32,372.79156350028984,73.2891955382913,32.980910211033276,32.92919491448942
4.4,387.0886359500476,73.29995309043942,32.948027446338564,32.89557548484431
4.48,365.4032987612023,73.30952565778612,32.915245772324,32.86206034588964
4.5600000000000005,680.0772092665236,73.31802281786597,32.883050396342384,32.82918037627807
4.64,702.9529185380369,73.32555597602688,32.85089556183797,32.7963218660037
4.72,392.3846657999542,73.33223808991605,32.81842870918608,32.76311540785725
4.8,386.7136828118998,73.33818339000514,32.786213346103594,32.730195251909585
4.88,383.84351717611764,73.34350709686142,32.75413217716556,32.6974178471456
4.96,381.98896304410715,73.34832513587891,32.72218336235736,32.664779786078924
5.04,677.8221701444886,73.35275385019085,32.6907831253745,32.632734756142625
5.12,689.2023368740794,73.35690971248854,32.6594114359014,32.60069911134246
5.2,380.3936122904022,73.36090903647505,32.627731625111885,32.568320515068834
5.28,395.5712222621892,73.36486768868275,32.59632860066602,32.53625577871282
5.36,388.4361828956847,73.36890080138306,32.56504205883782,32.50431333527852
5.44,367.3695984463727,73.37312248731386,32.533859227724996,32.47247918618197
5.5200000000000005,704.8612595409219,73.37764555694524,32.50328787178392,32.441307762800704
5.6000000000000005,694.2237657937552,73.38258123899826,32.47269418839813,32.41008803217702
5.68,378.23077999694044,73.38803890492285,32.44178765929678,32.37852129097083
5.76,391.11676288840874,73.39412579803127,32.411154467451766,32.34726516943608
5.84,395.30999522495955,73.4009467679711,32.380651381572505,32.31614638426944
5.92,394.31280119116207,73.40860401120956,32.35027234944674,32.285157477546115
6.0,687.4117371516604,73.41719681818401,32.320431136725965,32.25474985157646
6.08,695.3618143622318,73.42682132775847,32.290608252841245,32.22434067847119
6.16,388.3126343140357,73.43757028960601,32.26047464270705,32.19358597783188
6.24,394.75545127122365,73.44953283511784,32.23059844492603,32.16312399132263
6.32,380.20825762154715,73.46279425741777,32.2008254604323,32.132770374496246
6.4,383.14341023336186,73.47743580103842,32.171186526089315,32.1025586426224
6.48,373.93665025993977,73.49353446179012,32.14165716164171,32.07246117979076
6.5600000000000005,682.0569006387899,73.51116279732868,32.112686418902065,32.04296818082309
6.640000000000001,712.1878873359129,73.53038874890073,32.08375549826931,32.013496296027306
6.72,398.5624002857083,73.55127547471693,32.0544919652556,31.983653753890014
6.8,384.27989878419675,73.57388119537444,32.02545568222714,31.95407135394086
6.88,395.0353289789203,73.59825905171921,31.99656289578115,31.924642468552854
6.96,388.6163602504764,73.62445697550739,31.967777368991808,31.895324967854396
7.04,690.3232036809231,73.65251757319271,31.939537218117863,31.866597336390512
7.12,705.4209340826262,73.68247802313394,31.91131532375713,31.83786768927947
7.2,400.38036566465973,73.71436998648167,31.882775939513742,31.808784776366057
7.28,384.64173960890054,73.74821953197058,31.854455391309866,31.779952449213443
7.36,400.6464365581401,73.78404707480648,31.82628325087274,31.75127907298294
7.44,358.80254895910264,73.82186732980364,31.798163623995872,31.722657140056263
7.5200000000000005,712.3285375656284,73.86168927889007,31.770673364353065,31.694718646789838
7.6000000000000005,701.3057060235726,73.9035161530638,31.74314108606448,31.666709700112648
7.68,382.0099264953414,73.94734542884554,31.715278640501978,31.638334952812766
7.76,385.91760776535506,73.993168839237,31.6876655793599,31.610245034857012
7.84,365.1243108539911,74.04097239915735,31.660138621812845,31.582245136835677
7.92,382.80328112162493,74.09073644529384,31.63275952672298,31.554402653513876
8.0,705.3566885726761,74.14243569026607,31.605939687396216,31.527164020833034
8.08,722.1684106711227,74.19603929096722,31.579126122256095,31.499909113782312
8.16,379.8172978172636,74.25151093091002,31.55193610658138,31.47223654573501
8.24,376.9150639710682,74.30880891636929,31.52499220449172,31.444846458356974
8.32,379.9824295641547,74.36788628607883,31.49816790097419,31.41758342179342
8.4,394.1540211770208,74.42869093420525,31.471474108564262,31.390457613773787
8.48,388.2875110965969,74.4911657462888,31.444877702102538,31.363432236428945
8.56,692.0535969434944,74.55524874780745,31.418820190205732,31.33698972889049
8.64,707.6990114967003,74.62087326498983,31.392771775713197,31.3105352180085
8.72,385.97077549348046,74.68796809747003,31.366373191426977,31.28369188965815
8.8,394.68644990532897,74.75645770234944,31.340225462794916,31.257135107055447
8.88,377.97946906122655,74.8262623891998,31.31416154344546,31.230665663636046
8.96,381.7233785340224,74.89729852551582,31.288218196808494,31.204323717076548
9.040000000000001,694.1183777030176,74.96947875209814,31.2628194344891,31.17857047337562
9.120000000000001,678.0472757780183,75.04271220782285,31.237379071660033,31.1527494709915
9.200000000000001,387.9612027706458,75.11690476323015,31.211642991046194,31.126600796894145
9.28,387.61055272179897,75.19195926234185,31.186129807780134,31.10070658322518
9.36,385.05113456642465,75.26777577209748,31.160721078184146,31.074922634540634
9.44,382.6541286662486,75.34425183877883,31.135415969880782,31.04924698237474
9.52,678.7694388692438,75.42128275077536,31.110632350712223,31.024135179835042
9.6,693.6903201585196,75.49876180702701,31.08585454541431,30.999008289365037
9.68,381.57285483473237,75.57658059046646,31.060735072579902,30.9735020022387
9.76,376.9772273077839,75.65462924577004,31.035838626627474,30.948251464797387
9.84,383.38714288333995,75.7327967607161,31.011058445687862,30.92312443720017
9.92,389.04050856814547,75.8109712504404,30.98638698475127,30.898110823038806
10.0,875.0,75.88904024387001,30.962497176419777,30.873944255814127
10.08,886.7557050458493,75.9668909716132,30.93852904313927,30.849660238360148
10.16,855.9788696740968,76.04441065457742,30.914610437978837,30.825422766068083
10.24,894.021130325903,76.12148679258719,30.890857084728506,30.80136234658142
10.32,863.2442949541505,76.1980074522724,30.867144574486133,30.77733972920048
10.4,875.0000000000003,76.27386155350027,30.843559514157054,30.753452920678043
10.48,886.7557050458499,76.34893915362757,30.82008471840777,30.729681087713143
10.56,855.9788696740968,76.4231317288552,30.79665989749608,30.705958336140345
10.64,894.0211303259031,76.49633245197433,30.77339830405749,30.682410526695303
10.72,863.2442949541503,76.56843646580306,30.750175503849338,30.658898321818253
10.8,875.0000000000006,76.63934115162277,30.727078111858212,30.635519735703408
10.88,886.7557050458497,76.70894639193614,30.7040889512564,30.612253944406095
10.96,855.9788696740969,76.77715482688356,30.681147740778417,30.589035063117407
11.040000000000001,894.0211303259032,76.84387210367012,30.658367741501248,30.565988961890266
11.120000000000001,863.2442949541501,76.9090071183733,30.635624527588504,30.542976312442107
11.200000000000001,875.0000000000009,76.97247224952065,30.613004722397925,30.520095138204574
11.28,886.7557050458504,77.03418358284782,30.59049115743814,30.497324624430853
11.36,855.9788696740967,77.09406112666893,30.568023559745278,30.474598895470344
11.44,894.0211303259028,77.15202901731575,30.545715198663174,30.452043830494993
11.52,728.292788518158,77.2080157141267,30.52325251807728,30.429313901050595
11.6,702.6186671924776,77.26195418349319,30.50091359499476,30.406723425104172
11.68,387.5755039072277,77.31378207149886,30.47823740562058,30.383762763013628
11.76,384.2555408423384,77.36344186471531,30.455777262045558,30.361050815692746
11.84,365.81228784700966,77.41088103874871,30.43338790216703,30.338412921055898
11.92,384.7348612455079,77.45605219416177,30.411125825852693,30.315910248699147
12.0,700.9034531491154,77.49891317942833,30.38939221359267,30.293978124433412
12.08,736.9486316872793,77.5394272006098,30.367673173291305,30.272039473160504
12.16,383.0763903521888,77.57756291747643,30.345532635780003,30.24963334678578
12.24,388.0154734233362,77.6132945258313,30.323632656566843,30.22750456199338
12.32,384.6528823029476,77.64660182582845,30.301819158031517,30.205466680671428
12.4,373.31321962380474,77.67747027611348,30.280082056030047,30.183507712499214
12.48,396.4282281451503,77.70589103364921,30.25847253020809,30.161683900967816
12.56,711.2789954903017,77.73186097912676,30.23738518620355,30.140423576452008
12.64,711.8654792056457,77.75538272789731,30.216260527796763,30.119100265506997
12.72,375.90612545205266,77.77646462639733,30.194751188791656,30.097351665443668
12.8,399.02794310936105,77.79512073407666,30.17349828249654,30.075896911248208
12.88,370.98148937207725,77.81137079087475,30.152287199364302,30.054483335110127
12.96,390.86857093800273,77.82524017032782,30.131203542176777,30.033205666186415
13.040000000000001,732.8568343871497,77.83675981842518,30.110679285979042,30.012532357956182
13.120000000000001,685.1419551230397,77.84596617836948,30.090036835822417,29.991706424880366
13.200000000000001,379.33702270397237,77.85290110143112,30.069069133471242,29.970522635752754
13.280000000000001,385.99651365087647,77.85761174412183,30.048320724934975,29.94959075643817
13.36,379.9652434588381,77.86015045194786,30.02764932009638,29.928739258718036
